"","Altitude","Forest.Cover","Forest.Density","Broadleaf.Trees","E2.Layer","E2.Confiers","E1.Layer","E1Height","Slope","Rocks","Exposition","Species","Count","Site"
"1.1",860,4,3,"2",2,2,3,1,8,"no","cold","Erithacus.rubecula",4,1
"2.1",1010,4,3,"2",0,0,1,1,5,"yes","cold","Erithacus.rubecula",6,2
"3.1",1070,4,2,"2",2,2,4,1,8,"no","cold","Erithacus.rubecula",4,3
"4.1",1050,4,2,"2",2,2,3,1,9,"no","cold","Erithacus.rubecula",6,4
"5.1",1030,4,2,"2",2,2,6,1,7,"no","cold","Erithacus.rubecula",4,5
"6.1",880,4,1,"2",2,2,5,2,9,"yes","cold","Erithacus.rubecula",8,6
"7.1",1035,4,3,"2",2,0,1,1,6,"yes","cold","Erithacus.rubecula",4,7
"8.1",1130,4,2,"2",2,2,4,1,1,"no","cold","Erithacus.rubecula",2,8
"9.1",1090,2,2,"3",2,0,8,1,6,"no","cold","Erithacus.rubecula",6,9
"10.1",1105,2,2,"4",3,2,9,2,6,"no","cold","Erithacus.rubecula",4,10
"11.1",1240,4,1,"2",1,4,8,2,6,"yes","cold","Erithacus.rubecula",4,11
"12.1",1235,4,1,"2",3,2,9,3,7,"no","cold","Erithacus.rubecula",6,12
"13.1",1220,3,2,"4",0,0,9,2,6,"no","cold","Erithacus.rubecula",4,13
"14.1",1180,0,0,"0",3,1,8,3,7,"no","cold","Erithacus.rubecula",6,14
"15.1",1275,3,2,"2",3,2,8,1,5,"yes","warm","Erithacus.rubecula",4,15
"16.1",1315,2,2,"0",0,0,9,1,5,"yes","warm","Erithacus.rubecula",2,16
"17.1",1275,4,2,"2",2,2,8,2,6,"no","cold","Erithacus.rubecula",8,17
"18.1",1330,2,2,"1",1,3,6,2,7,"no","cold","Erithacus.rubecula",4,18
"19.1",860,2,2,"1",1,3,8,2,5,"no","cold","Erithacus.rubecula",2,19
"20.1",1285,3,2,"2",1,2,7,2,6,"no","warm","Erithacus.rubecula",8,20
"21.1",1330,1,1,"1",1,4,8,1,6,"yes","warm","Erithacus.rubecula",2,21
"22.1",885,4,2,"1",2,3,7,3,6,"no","cold","Erithacus.rubecula",4,22
"23.1",1025,4,2,"2",0,0,4,1,5,"no","cold","Erithacus.rubecula",4,23
"24.1",1095,4,2,"3",0,0,8,1,6,"no","cold","Erithacus.rubecula",6,24
"25.1",1155,2,2,"2",1,2,6,2,4,"no","cold","Erithacus.rubecula",6,25
"26.1",1190,3,2,"2",2,2,5,2,7,"no","cold","Erithacus.rubecula",4,26
"27.1",1295,2,2,"0",2,4,6,2,6,"no","cold","Erithacus.rubecula",1,27
"28.1",930,4,2,"4",1,0,6,2,8,"no","cold","Erithacus.rubecula",4,28
"29.1",1000,3,2,"4",1,0,9,4,7,"no","cold","Erithacus.rubecula",6,29
"30.1",1090,4,1,"2",3,4,9,3,5,"no","cold","Erithacus.rubecula",6,30
"31.1",1180,2,2,"2",2,2,4,1,3,"no","cold","Erithacus.rubecula",6,31
"32.1",1175,3,2,"4",3,0,8,2,4,"no","warm","Erithacus.rubecula",6,32
"33.1",1170,4,2,"4",2,0,8,2,8,"no","warm","Erithacus.rubecula",2,33
"34.1",1190,4,2,"4",3,0,9,2,9,"no","warm","Erithacus.rubecula",4,34
"35.1",910,4,2,"4",0,0,7,2,8,"no","cold","Erithacus.rubecula",2,35
"36.1",1050,4,3,"2",0,0,8,2,4,"no","cold","Erithacus.rubecula",4,36
"37.1",1035,4,1,"3",3,2,9,3,4,"no","warm","Erithacus.rubecula",6,37
"38.1",1010,2,1,"4",3,0,9,3,9,"no","warm","Erithacus.rubecula",8,38
"39.1",1135,4,2,"4",3,0,9,3,9,"no","cold","Erithacus.rubecula",2,39
"40.1",1190,4,2,"4",1,0,9,3,9,"no","warm","Erithacus.rubecula",4,40
"41.1",910,4,2,"4",0,0,6,2,9,"no","warm","Erithacus.rubecula",4,41
"42.1",1050,4,2,"3",0,0,9,2,7,"no","warm","Erithacus.rubecula",4,42
"43.1",1045,1,2,"4",3,1,9,2,8,"no","warm","Erithacus.rubecula",8,43
"1.2",860,4,3,"2",2,2,3,1,8,"no","cold","Fringilla.coelebs",8,1
"2.2",1010,4,3,"2",0,0,1,1,5,"yes","cold","Fringilla.coelebs",12,2
"3.2",1070,4,2,"2",2,2,4,1,8,"no","cold","Fringilla.coelebs",12,3
"4.2",1050,4,2,"2",2,2,3,1,9,"no","cold","Fringilla.coelebs",11,4
"5.2",1030,4,2,"2",2,2,6,1,7,"no","cold","Fringilla.coelebs",9,5
"6.2",880,4,1,"2",2,2,5,2,9,"yes","cold","Fringilla.coelebs",9,6
"7.2",1035,4,3,"2",2,0,1,1,6,"yes","cold","Fringilla.coelebs",8,7
"8.2",1130,4,2,"2",2,2,4,1,1,"no","cold","Fringilla.coelebs",13,8
"9.2",1090,2,2,"3",2,0,8,1,6,"no","cold","Fringilla.coelebs",1,9
"10.2",1105,2,2,"4",3,2,9,2,6,"no","cold","Fringilla.coelebs",11,10
"11.2",1240,4,1,"2",1,4,8,2,6,"yes","cold","Fringilla.coelebs",12,11
"12.2",1235,4,1,"2",3,2,9,3,7,"no","cold","Fringilla.coelebs",11,12
"13.2",1220,3,2,"4",0,0,9,2,6,"no","cold","Fringilla.coelebs",9,13
"14.2",1180,0,0,"0",3,1,8,3,7,"no","cold","Fringilla.coelebs",4,14
"15.2",1275,3,2,"2",3,2,8,1,5,"yes","warm","Fringilla.coelebs",1,15
