"Falco_subbuteo","Anthus_trivialis","Phylloscopus_bonelli","Tetrao_tetrix","Parus_caeruleus","Dendrocopos_major","Garrulus_glandarius","Carduelis_spinus","Loxia_curvirostra","Phylloscopus_trochilus","Certhia_brachydactyla","Sylvia_borin","Phoenicurus_phoenicurus","Hippolais_icterina","Pyrrhula_pyrrhula","Emberiza_citrinella","Muscicapa_striata","Picus_canus","Picus_viridis","Accipiter_gentilis","Bonasa_bonasia","Parus_cristatus","Prunella_modularis","Columba_oenas","Coccothraustes_coccothraustes","Sylvia_curruca","Sitta_europaea","Dendrocopos_minor","Corvus_corax","Cuculus_canorus","Buteo_buteo","Turdus_viscivorus","Parus_montanus","Luscinia_megarhynchos","Lanius_collurio","Oriolus_oriolus","Corvus_corone","Turdus_torquatus","Columba_palumbus","Aegithalos_caudatus","Milvus_migrans","Dryocopus_martius","Regulus_ignicapillus","Accipiter_nisus","Parus_palustris","Nucifraga_caryocatactes","Ficedula_hypoleuca","Streptopelia_turtur","Turdus_pilaris","Certhia_familiaris","Strix_aluco","Phylloscopus_sibilatrix","Asio_otus","Pernis_apivorus","Regulus_regulus","Serinus_citrinella","avg","cov","cv","dns","fhd","p10","p25","p95","rt_p2595","std","uhd","asp","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","ddeg0","ddeg5","mbal","mind","pet_103","pet_49","pet_ave","pet_swrt","prc_103","prc_49","prc_swrt","rad","slp","tpi","twi","CLUMPY_canopy","CLUMPY_under_midstorey","TE_canopy","TE_under_midstorey","TE_matrix","TE_total","data_type","blockCV_tile"
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,13.5499992370605,34.1000022888184,0.628782286628204,34.1000022888184,1.84227776527405,2.67999982833862,5.94999980926514,28.1399993896484,0.211442783877739,8.51999950408936,2.38140106201172,138.538208007812,4.00645017623901,11.7727003097534,-3.48432493209839,1549,177,103,19.3909492492676,496,328,496,328,7.67560005187988,31.1935997009277,628.065856933594,17.2302742004395,-7.3737998008728,24.6044998168945,11.7727003097534,-3.22587490081787,12267.1083984375,9071.4619140625,57,0.933679938316345,2.37559628486633,5.78446245193481,4.08002948760986,2.5009024143219,674.844177246094,874.410705566406,1.29575335979462,22440.564453125,20.6560173034668,0.393442749977112,4.82943868637085,0.6521,0.3119,17440,21080,11200,49720,"train",5
1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,13.789999961853,32,0.554749792581022,32,1.80319809913635,3.95999979972839,7.08999967575073,28.1999988555908,0.251418438421145,7.64999961853027,2.27636766433716,153.931076049805,9.04452514648438,17.2852249145508,1.12232494354248,1239,126,87,10.4116249084473,350,281,290,333,8.02974987030029,31.2259254455566,657.526550292969,23.5162506103516,-2.19882488250732,25.7154998779297,5.29545021057129,4.59267520904541,37979.2421875,19732.62109375,-243,1.23612976074219,2.24457168579102,5.86091327667236,4.05274248123169,2.61467576026917,653.133850097656,586.234313964844,0.897589981555939,22138.388671875,2.16316151618958,0.052385311573744,8.72926139831543,0.7834,0.466,9740,9480,7380,26600,"train",1
0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,19.3400001525879,14.3000001907349,0.535160255746455,14.3000001907349,2.00211405754089,4.78999996185303,9.13999938964844,34.0299987792969,0.268586532985979,10.3499994277954,2.36414861679077,264.219360351562,7.46390008926392,15.5485754013062,-0.592700004577637,1837,207,114,21.4101505279541,602,373,602,373,7.80450010299683,30.8311748504639,656.689208984375,21.1142997741699,-4.1982250213623,25.3122749328613,15.5485754013062,-0.592700004577637,24131.6484375,17492.564453125,372,0.761204719543457,2.20138168334961,5.80921125411987,4.00529670715332,2.71185231208801,771.123962402344,1065.86071777344,1.38233506679535,21923.70703125,11.2921085357666,1.54307234287262,5.20730018615723,0.6586,0.2917,10440,19740,22780,52960,"train",5
0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,15.460000038147,34.5,0.461836988930654,34.5,1.74848711490631,5.19000005722046,9.78999996185303,26.3599987030029,0.371396071454956,7.1399998664856,2.36979746818542,160.694412231445,5.93432521820068,13.5649995803833,-1.28132498264313,1439,137,100,8.00137519836426,376,326,368,369,7.14244985580444,30.431999206543,609.707885742188,18.8379001617432,-4.63032484054565,23.4685745239258,2.69749999046326,1.35790002346039,19521.7578125,11820.1650390625,-172,1.12622034549713,2.62664008140564,6.18538808822632,4.40601396560669,2.36396670341492,722.122131347656,716.764343261719,0.992575824260712,24173.798828125,7.66767358779907,-0.506224691867828,5.47842979431152,0.545,0.255,22160,17920,20360,60440,"train",2
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.28999996185303,2,0.729257635329095,2,0.303880840539932,1.05999994277954,1.19999992847443,5.73999977111816,0.209059229324789,1.66999995708466,1.27092945575714,150.830795288086,1.90792500972748,9.76992511749268,-5.57760000228882,1206,146,50,34.3846244812012,428,171,428,175,7.82082509994507,31.0911502838135,631.8466796875,15.2668752670288,-9.88490009307861,25.1522254943848,9.76992511749268,-4.96360015869141,8147.35205078125,4254.3193359375,-119,1.01534426212311,1.69893729686737,5.53709316253662,3.61801528930664,3.53875827789307,443.009613037109,763.064208984375,1.72244215011597,19943.966796875,19.3024616241455,-4.31964445114136,5.58251762390137,0.1974,0.4086,560,22620,22220,45400,"train",5
1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.92999935150146,61.2999992370605,0.589025770887685,61.2999992370605,1.4213525056839,2.21000003814697,4.56999969482422,18.0499992370605,0.253185589362299,5.25999975204468,2.39256310462952,264.371795654297,9.77287483215332,18.3466491699219,1.21537494659424,1119,116,73,16.0638008117676,338,233,338,246,8.64214992523193,31.8304996490479,694.134643554688,24.8653755187988,-2.28587508201599,27.1515254974365,18.3466491699219,2.5697500705719,40922.25,25401.0546875,-316,1.23151779174805,2.0974338054657,5.74678421020508,3.9221088886261,2.74695158004761,499.671844482422,619.04833984375,1.23887300491333,21404.365234375,3.32940983772278,-0.39522385597229,8.44205570220947,0.408,0.374,27240,30720,8840,66800,"train",4
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,7.69999980926514,41.9000015258789,0.602597400184666,41.9000015258789,1.29027497768402,2.65999984741211,4.09999990463257,17.2199993133545,0.23809524205108,4.6399998664856,2.3016664981842,250.242630004883,9.64235019683838,18.2031745910645,1.11492502689362,1152,117,75,15.2522001266479,344,241,344,255,8.72377490997314,32.0750999450684,692.578430175781,24.7645244598389,-2.43152499198914,27.1961250305176,18.2031745910645,3.13015007972717,40182.21484375,25079.7265625,-281,1.19468986988068,2.08224391937256,5.74851036071777,3.91537714004517,2.76082110404968,516.679260253906,634.938049316406,1.22888028621674,21372.0703125,0.940692186355591,-0.226881310343742,8.79249000549316,0.3734,0.4196,25080,28740,9620,63440,"train",4
0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,10.460000038147,42.2000007629395,0.695028676330141,42.2000007629395,1.64677894115448,2.48000001907349,4.96000003814697,26.0999984741211,0.190038326747986,7.26999998092651,2.39181804656982,203.233383178711,5.88757514953613,13.8156747817993,-1.87147498130798,1155,115,70,13.721474647522,323,257,323,317,9.07772541046143,34.4931983947754,640.614501953125,20.2204246520996,-6.09684991836548,26.3181991577148,13.6223745346069,2.44845008850098,19234.0859375,11771.40234375,-271,1.26260805130005,2.19875860214233,5.59950065612793,3.89912962913513,2.56695318222046,585.158508300781,570.042053222656,0.974194586277008,21387.599609375,10.6106357574463,-2.97596621513367,6.02237319946289,0.4613,0.3721,23180,31420,13000,67600,"train",3
0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,14.7599992752075,34.7000007629395,0.718157178069806,34.7000007629395,1.96383404731751,2.02999997138977,5.58999967575073,33.1699981689453,0.168525775831494,10.5999994277954,2.3272659778595,184.610595703125,8.43535041809082,16.7575244903564,0.137950003147125,1406,167,78,28.2740745544434,488,255,488,256,8.77857494354248,32.6553001403809,674.722473144531,23.1416759490967,-3.74052500724792,26.8824996948242,16.7575244903564,1.3582249879837,31741.74609375,18942.71875,-44,0.972835123538971,2.15486598014831,5.77212333679199,3.96349477767944,2.71580123901367,543.075866699219,862.65673828125,1.58847486972809,21668.095703125,7.03364562988281,-2.15157270431519,6.86829900741577,0.6746,0.5411,14240,21300,15620,51160,"train",4
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,9.67999935150146,42.7000007629395,0.65805788350296,42.7000007629395,1.54848456382752,1.62000000476837,4.05999994277954,21,0.19333333060855,6.36999988555908,2.27769136428833,255.757858276367,4.11092519760132,11.7082500457764,-3.18709993362427,2375,281,145,23.8191509246826,813,486,813,486,7.32362508773804,30.7821750640869,614.123962402344,16.8368244171143,-6.95567512512207,23.7921504974365,11.7082500457764,-3.18709993362427,12386.1474609375,9443.5869140625,873,0.6086745262146,2.2652018070221,5.94874143600464,4.10697174072266,2.67325830459595,994.799011230469,1380.43237304688,1.38765501976013,22586.63671875,9.39965629577637,1.49919295310974,5.39713764190674,0.5698,0.3987,19160,20600,6720,46480,"train",4
