Site,Year,Hydro,Water_Type,Conductivity,DOC,TDN,Turbidity,Alkalinity ,Total_CHL,Corrected_CHL,NO3,PO4,Periphyton,Cl,SO4,Organic_Matter,pH,Long,Lat,Ephemeroptera,Hemiptera ,Amphipoda,Gastropoda,Anispotera,Zygoptera,Decapoda,Diptera,Chironomidae,Platyhelminthes,Coleoptera,Daphniidae,Ostracoda,Tricoptera
Ascarate,2018,permanent,non-waste,4.06,2.846,0.306,4.4,63.05,2.231,1,0,0.443,0.001802357,139.44,92.3,0.03,9.29,-106.405769,31.748723,0,1,100,8,0,1,12,0,10,0,0,50,0,0
BJ Bishop,2018,permanent,waste,2.582,23.16,3.544,60.73,412.4,95.211,103.944,0.237,11.936,0.009655485,149.39,64.66,0.04,8.55,-104.317758,29.540223,21,0,0,5,3,10,0,1,0,0,0,1000,0,0
Crossroads,2018,permanent,non-waste,8.563,28.12,2.45,17.4,363.708,16.915,15.255,0,0.223,0.003475975,777.9,1989.11,0.02,9.28,-106.580658,31.840454,11,3,5,0,4,32,0,0,1,0,0,0,200,0
Keystone,2018,permanent,non-waste,15.71,75.04,7.16,38.5,457.625,26.16,21.322,0,0.949,0.002838713,828.53,5309,0.01,8.92,-106.563376,31.822561,0,1,11,0,0,0,0,0,10,0,2,0,100,0
La Mancha,2018,ephemeral,non-waste,1.029,4.012,0.386,3.78,198.042,12.657,11.133,0,0,0.003128377,80.65,134.51,0,7.08,-106.829127,32.276497,80,1,60,25,0,7,0,2,0,0,0,150,300,0
Las Palomas,2018,ephemeral,non-waste,1.204,5.356,0.491,24.7,168.042,30.353,31.808,0,0,0,38.57,54.72,0.03,7.65,-112.260739,33.390146,9,15,0,6,0,10,0,1,1,0,0,0,0,0
Rio Bosque 1,2018,ephemeral,waste,1.891,7.98,1.835,3.82,164.375,2.885,1.818,5.195,2.431,0.022915684,92.46,155.43,0.06,7.24,-106.314309,31.64257,30,0,0,10,7,25,0,1,35,0,7,300,300,0
Rio Bosque 2,2018,ephemeral,waste,1.917,7.432,6.766,3.71,140.575,5.183,3.181,8.3,4.3,0.009076156,140,130,0.08,6.38,-106.311547,31.638611,10,1,60,190,4,60,0,0,10,0,12,100,300,0
Rio Grande 1,2018,permanent,non-waste,0.695,3.407,0.419,208.3,148.775,7.554,5.112,0.544,0,0.005407072,41.96,102.13,0,7.93,-112.260739,33.390146,6,0,0,5,0,3,2,2,0,0,0,0,0,0
Rio Grande 2,2018,permanent,non-waste,0.739,3.757,0.337,15.3,154.483,5.046,4.544,0.331,0,-0.000772439,15.96,43.35,0.03,7.23,-107.279155,33.059796,5,41,0,5,0,2,0,0,0,0,1,0,130,0
Sandia Springs 1,2018,ephemeral,non-waste,5.439,3.128,0.557,18.1,97.4,3.73,3.181,0,0,0.000514959,502.24,999.78,0.04,8,-103.706449,30.988421,32,2,0,0,1,35,0,0,20,0,5,30,50,0
Sandia Springs 3,2018,ephemeral,non-waste,4.718,1.414,0.419,16.7,163.167,3.033,2.045,0.213,0,0.002124207,65.93,416.06,0.06,8.36,-103.708222,30.989127,6,25,0,31,2,13,0,0,10,2,4,0,20,0
Sweetwater 1,2018,permanent,waste,8.518,4.844,3.106,1.8,173.692,0.164,0.454,4.482,3.659,0.003282865,147.25,192.52,0.05,6.99,-111.021681,32.278968,28,15,400,0,21,14,0,0,66,6,4,132,3000,0
Sweetwater 2,2018,permanent,waste,1.18,5.5,1.041,12,183.308,1.047,0,0.319,3.236,0.003282865,145.4,177.38,0.05,6.95,-111.023471,32.278281,28,15,400,0,21,14,0,0,66,6,4,132,3000,0
Tre Rios 1,2018,permanent,waste,2.375,7.223,1.199,9.52,302.69,1.152,0.682,0.565,7.354,0.021113327,324.22,111.23,0.03,6.81,-112.264771,33.397806,6,150,200,70,2,48,3,4,3,0,0,50,1000,0
Tre Rios 2,2018,permanent,waste,2.289,6.31,1.09,2.55,191.2,0.419,0.454,0.454,13.584,0.005947779,387.4,136.32,0.03,6.82,-112.260739,33.390146,6,150,200,70,2,48,3,4,3,0,0,50,1000,0
Sandia Springs 1,2019,ephemeral,non-waste,5.131,4.144,0.313,2.12,98.375,4.182,3.862,1.1,0,0.000386219,621,727,0.04,7.68,-103.706449,30.988421,9,1,0,35,14,50,0,7,2,0,4,0,0,0
Sandia Springs 2,2019,ephemeral,non-waste,4.613,2.816,0.257,1.86,137.61,5.59,5.453,0.8,0,0.002317316,521,674,0.02,7.86,-103.707428,30.988798,26,1,0,1,10,21,0,12,4,0,0,0,8,0
Sandia Springs 3 ,2019,ephemeral,non-waste,4.869,1.473,0.626,4.56,314.975,1.965,1.59,0.213,0,0.002317316,521,674,0.06,7.82,-103.708222,30.989127,0,1,0,2,2,7,0,0,2,45,0,0,0,0
