"","Aspect","Slope","Form","PhysD","ZoogD","Snow"
"AR07",7,2,"1",50,"no",140
"AR71",1,35,"3",40,"no",140
"AR26",5,0,"3",20,"no",140
"AR54",9,30,"3",80,"no",140
"AR60",9,5,"1",80,"no",140
"AR70",1,30,"3",40,"no",140
"AR22",5,10,"3",70,"no",160
"AR25",6,12,"2",15,"no",140
"AR27",9,2,"1",65,"no",140
"AR28",1,5,"3",60,"no",150
"AR72",5,20,"4",10,"some",140
"AR01",9,30,"3",30,"no",140
"AR23",5,10,"3",20,"some",140
"AR08",8,20,"3",60,"some",160
"AR12",9,5,"3",40,"no",150
"AR13",9,7,"2",70,"no",140
"AR61",8,15,"4",10,"no",150
"AR49",5,2,"1",65,"no",150
"AR50",5,0,"1",40,"no",160
"AR52",3,5,"1",70,"no",150
"AR29",2,7,"3",50,"no",160
"AR30",2,10,"3",50,"no",150
"AR51",5,0,"1",70,"no",150
"AR05",9,10,"4",20,"high",150
"AR53",6,30,"4",40,"high",160
"AR06",8,20,"3",40,"high",160
"AR16",8,7,"3",20,"high",150
"AR56",6,10,"3",80,"high",160
"AR75",8,7,"3",20,"high",150
"AR69",8,30,"2",30,"high",160
"AR15",8,20,"4",20,"high",150
"AR63",7,2,"1",40,"high",160
"AR74",7,10,"3",60,"high",160
"AR64",5,0,"5",10,"some",170
"AR65",5,0,"5",0,"high",160
"AR66",5,0,"5",5,"some",170
"AR67",5,0,"5",5,"high",180
"AR68",5,0,"5",0,"some",170
"AR11",9,2,"4",15,"some",160
"AR32",8,10,"5",20,"some",160
"AR02",9,15,"4",15,"some",170
"AR10",9,5,"1",45,"some",160
"AR31",8,20,"3",40,"some",170
"AR39",8,15,"2",20,"some",180
"AR40",8,15,"4",10,"some",180
"AR57",3,20,"1",30,"some",160
"AR58",3,25,"4",20,"some",160
"AR62",9,15,"3",30,"some",170
"AR24",5,0,"5",20,"no",200
"AR37",5,0,"5",30,"no",210
"AR38",5,0,"5",0,"no",210
"AR03",9,5,"5",20,"no",190
"AR14",8,10,"4",5,"no",170
"AR19",5,0,"5",10,"no",190
"AR20",5,0,"5",0,"no",180
"AR36",9,2,"5",10,"no",200
"AR42",5,0,"5",0,"no",180
"AR44",5,0,"5",0,"no",190
"AR34",7,5,"3",20,"no",190
"AR35",7,2,"3",30,"some",190
"AR46",5,0,"5",20,"no",200
"AR47",6,15,"3",25,"some",190
"AR48",5,10,"4",25,"no",180
"AR41",5,0,"1",50,"some",180
"AR43",5,0,"1",50,"no",190
"AR45",5,0,"1",40,"no",200
"AR21",5,17,"2",20,"some",170
"AR73",5,2,"1",30,"some",160
"AR04",5,0,"1",35,"some",180
"AR09",8,2,"1",40,"some",160
"AR17",5,10,"2",40,"some",180
"AR18",5,0,"1",20,"some",180
"AR33",9,2,"1",70,"some",170
"AR55",7,15,"1",30,"some",160
"AR59",3,10,"2",25,"some",160
