,Aegithalos caudatus,Alauda arvensis,Anthus trivialis,Certhia familiaris,Columba palumbus,Corvus corax,Cuculus canorus,Dryocopus martius,Erithacus rubecula,Ficedula albicollis,Ficedula parva,Fringilla coelebs,Loxia curvirostra,Parus ater,Parus cristatus,Parus major,Parus montanus,Phoenicurus phoenicurus,Phylloscopus collybita,Phylloscopus sibilatrix,Phylloscopus trochilus,Prunella modularis,Pyrrhula pyrrhula,Regulus regulus,Regulus ignicapillus,Sitta europaea,Sylvia atricapilla,Troglodytes troglodytes,Turdus merula,Turdus philomelos,Turdus viscivorus,Turdus torquatus,Carduelis spinus,Regulus spp.,Parus palustris,Motacilla cinerea,Oriolus oriolus
,AegiCaud,AlauArve,AnthTriv,CertFami,ColuPalu,CorvCora,CucuCano,DryoMart,EritRube,FiceAlbi,FiceParv,FrinCoel,LoxiCurv,ParuAter,ParuCris,ParuMajo,ParuMont,PhoePhoe,PhylColl,PhylSibi,PhylTro ,PrunModu,PyrrPyrr,ReguRegu,ReguIgni,SittEuro,SylvAtri,TrogTrog,TurdMeru,TurdPhil,TurdVisc,TurdTorq,CardSpin,Regu_sp.,ParuPalu,MotaCine,OriOri  
R1      ,,,,,,,,,4,,,8,,4,,,4,,4,,,4,,,4,,4,,,,,,,,,,
R2      ,,,,,,,,,6,,,12,2,8,,,3,,2,,2,4,2,4,,,2,,3,,,1,,,,,
R3      ,,,,,,,4,,4,,,12,,8,2,,,,,,,2,2,4,,2,2,,,2,,2,1,2,2,,
R4      ,,,,,,,,,6,,,11,,4,,,,,,,,2,,,,,,2,2,,,2,,1,2,,
R5      ,,,,,,,2,,4,,,9,,1,,1,2,,2,,,4,,6,,,2,,,,,,3,,,2,
R6      ,,,,,,,,,8,,,9,,6,,,,,4,2,,2,1,2,,,6,2,2,,,,,,,,
R7      ,,,,,2,,,,4,,,8,,6,1,,,,2,1,2,2,2,2,,,2,,2,1,,2,,,,,
R8      ,,,,,1,,,,2,,,13,2,7,4,,3,,,,,,2,2,2,,4,,,,,2,,2,,,
R9      ,,,,,,,2,1,6,4,,1,,4,,2,2,2,2,,,6,,,,,6,2,6,,,,,,,,
R10     ,,,,,,,2,,4,,,11,,6,,,,2,4,,4,2,,2,,,4,,4,2,1,,,,,,
R11     ,,,,,,,2,,4,,,12,2,3,,,,,2,,,4,3,1,,,,,2,,,5,1,,,,
R12     ,,,,,,,2,2,6,,,11,,,,,,,2,,,8,1,3,,,6,,4,2,,2,,,,,
R13     ,,,2,,,,2,,4,2,,9,,,,,,4,2,,2,4,2,,,,8,4,4,,,1,,,,,
R14     ,,,,,,,2,,6,,,4,,2,,,,4,4,,7,4,1,,,,6,2,2,2,,4,,,,,
R15     ,,,4,,,1,2,,4,,,1,,6,,,,,2,,4,2,1,,,1,,,6,,,2,,,,,
R16     ,,,2,,,,2,,2,,,1,,4,,,,,2,,4,8,2,2,,,2,,2,,,5,,,,,
R17     ,,,2,2,,,4,,8,,,14,,3,,,,2,2,,,6,2,,,,,2,,2,,5,1,1,,,
R18     ,,4,8,,,1,4,,4,,,7,,2,,,,,2,,,8,,2,,,,,2,,,6,,,,,
R19     ,,,,,,,,,2,,,12,,1,,,,,,,,2,2,2,,,4,2,,,,,2,,,2,
R20     ,,,6,,,2,4,,8,,,15,,,,2,,,4,,2,4,3,,,,4,2,2,,,8,,,,,
R21     ,,2,6,,2,,4,,2,,,1,2,2,,,3,,4,,2,2,6,,,,2,,2,,,4,,,,,
R27     ,,,,,,,,,4,,,7,,2,2,,,,,,,4,,,4,,6,2,3,,,,2,,,,
R28     ,,,,,,,2,,4,,,1,,4,,,2,,2,4,,2,4,2,,,,,2,,,2,,,,,
R29     ,,,,,2,1,4,,6,,,16,,3,,,2,,6,3,,4,,,,,4,,3,,,,,,,,1
R30     ,,,4,,,,6,,6,,,1,,5,,,,,,,2,4,2,2,,,,2,6,4,,8,,1,,,
R31     ,,,1,,,,4,,4,,,14,,7,,,,,4,,,6,4,4,,,4,,6,,,4,,,,,
R32     ,,2,9,,,,4,,1,,,1,1,6,,,,2,2,,4,4,6,,,,2,,6,1,,4,1,,,,
R37     ,,,,,,,2,,4,,,9,,2,,,,,2,6,,4,,,,,6,,4,,,,,,,,
R38     ,1,,,,,,2,,6,,,12,,3,,,,,4,2,2,4,,2,,,6,,1,,,2,1,,,,
R39     ,,,,,,1,2,,6,,,12,,3,,,2,,6,2,,4,4,3,,,6,,3,2,,,,1,,,
R40     ,,,2,,2,,4,,6,,,11,,8,,,,,,,2,2,,2,2,,6,2,2,2,,,1,1,,,
R41     ,,,2,,,,,,6,4,,11,,2,,2,,2,4,,2,2,,,,,2,2,4,,,,,,,,
R42     ,,,2,2,,,,,2,4,,17,,3,,2,,,2,4,,,1,4,,2,2,4,2,,,,,,,,
R43     ,,,2,,,,,,4,5,,11,,,,5,,4,2,4,2,2,,,,2,4,,,,,,,,,,
R46     ,,,,,,,,,2,2,2,14,,2,,,,,2,3,,,,,,,4,,2,,,,,,,,
R47     ,,,,,,1,2,,4,,2,1,,4,,,,,,1,,2,3,,,,4,,,,,2,,,,,
R48     ,,,,,2,,,,6,,,12,,5,,,,,4,,2,2,3,,,,4,2,2,2,,,,,,,2
R49     ,,,,,1,,2,,8,,,2,,,,,,,4,,4,4,,,,,8,2,1,,1,,,,,,
R50     ,,,,,,,,,2,6,,7,,1,,,,,,2,,6,,,,2,6,6,,,,,,,,,
R51     ,,,,,,,,,4,,,11,,2,,,,,,2,,,,,,2,2,4,,,,,,,,,
R54     ,,,,,,,,,4,,2,11,,2,,,1,,,4,2,,,,,,2,2,5,,,,,,,1,
R55     ,1,,,,,,2,,4,,,8,,6,,2,,,2,2,,,,,,,,,2,,,,,,,,1
R56     ,,,4,,,,,,8,,,6,,4,,,,,6,2,4,4,,2,,,4,2,2,,,,,,,,
