"","Antrodiella_semisupina","Armillaria_lutea","Armillaria_mellea","Armillaria_ostoyae","Arrhenia_epichysium","Ascocoryne_cylichnium","Ascotremella_faginea","Auricularia_auricula.judae","Auricularia_mesenterica","Biscogniauxia_nummularia","Bjerkandera_adusta","Bolbitius_reticulatus","Bulgaria_inquinans","Calocera_cornea","Camarops_polysperma","Camarops_tubulina","Catinella_olivacea","Ceriporia_excelsa","Ceriporia_purpurea","Ceriporia_reticulata","Ceriporia_viridans","Ceriporiopsis_gilvescens","Cerrena_unicolor","Chlorociboria_aeruginascens","Chondrostereum_purpureum","Clitocybe_diatreta","Clitopilus_hobsonii","Conocybe_subpubescens","Coprinellus_micaceus","Coprinus_disseminatus","Coprinus_laanii","Crepidotus_applanatus","Crepidotus_calolepis","Crepidotus_epibryus","Crepidotus_lundellii","Crepidotus_malachiodes","Crepidotus_mollis","Crepidotus_versutus","Datronia_mollis","Dentipellis_fragilis","Discina_parma","Entoloma_byssisedum","Entoloma_jahnii","Entoloma_tjallingiorum","Eutypa_spinosa","Exidia_nucleata","Exidia_plana","Flammulaster_limulatus","Flammulaster_muricatus","Flammulina_velutipes","Fomes_fomentarius","Fomitopsis_pinicola","Fuscoporia_ferrea","Fuscoporia_ferruginosa","Galerina_marginata","Galerina_triscopa","Ganoderma_lipsiensis","Gelatoporia_pannocincta","Gymnopilus_penetrans","Hericium_coralloides","Hohenbuehelia_auriscalpium","Hohenbuehelia_fluxilis","Hohenbuehelia_mastrucata","Hyphodontia_flavipora","Hyphodontia_paradoxa","Hyphodontia_radula","Hypholoma_fasciculare","Hypholoma_lateritium","Hypocrea_citrina","Hypocrea_rufa","Hypoxylon_cohaerens","Hypoxylon_fragiforme","Hypoxylon_macrocarpum","Hypoxylon_multiforme","Hypoxylon_rubiginosum","Inonotus_cuticularis","Inonotus_obliquus","Ischnoderma_resinosum","Kretzschmaria_deusta","Kuehneromyces_mutabilis","Laxitextum_bicolor","Lentaria_epichnoa","Lentinellus_ursinus","Lenzites_betulinus","Lycoperdon_perlatum","Lycoperdon_pyriforme","Marasmius_rotula","Megacollybia_platyphylla","Mensularia_nodulosa","Meripilus_giganteus","Micromphale_brassicolens","Multiclavula_mucida","Mutinus_caninus","Mycena_abramsii","Mycena_acicula","Mycena_adscendens","Mycena_amicta","Mycena_arcangeliana","Mycena_crocata","Mycena_erubescens","Mycena_galericulata","Mycena_haematopus","Mycena_hiemalis","Mycena_inclinata","Mycena_olida","Mycena_picta","Mycena_pseudocorticola","Mycena_renati","Mycena_romagnesiana","Mycena_speirea","Mycena_tintinabulum","Mycena_vitilis","Mycetinis_alliaceus","Nemania_atropurpurea","Nemania_chestersii","Nemania_serpens","Neobulgaria_pura","Neonectria_coccinea","Ossicaulis_lachnopus","Oudemansiella_mucida","Oxyporus_obducens","Sarcomyxa_serotina","Panellus_stipticus","Peziza_micropus","Phallus_impudicus","Phlebia_aurea","Phlebia_livida","Phlebia_nothofagi","Phlebia_radiata","Phlebia_rufa","Phlebia_tremellosa","Phlebia_uda","Phleogena_faginea","Pholiota_adiposa","Pholiota_squarrosa","Pholiota_squarrosoides","Pholiota_tuberculosa","Pholiontina_brunnea","Phyllotopsis_nidulans","Physisporinus_vitreus","Pleurotus_dryinus","Pleurotus_ostreatus","Pleurotus_pulmonarius","Plicaturopsis_crispa","Pluteus_cervinus","Pluteus_chrysophaeus","Pluteus_cyanopus","Pluteus_hispidulus","Pluteus_insidiosus","Pluteus_leoninus","Pluteus_luctuosus","Pluteus_nanus","Pluteus_phlebophorus","Pluteus_plautus","Pluteus_podospileus","Pluteus_romellii","Pluteus_salicinus","Pluteus_thomsonii","Pluteus_umbrosus","Polyporus_arcularius","Polyporus_badius","Polyporus_brumalis","Polyporus_ciliatus","Polyporus_squamosus","Polyporus_varius","Postia_alni","Postia_stiptica","Postia_tephroleuca","Protomerulius_caryae","Psathyrella_candolleana","Psathyrella_cernua","Psathyrella_cotonea","Psathyrella_fibrillosa","Psathyrella_maculata","Psathyrella_obtusata","Psathyrella_piluliformis","Psathyrella_rostellata","Psathyrella_silvestris","Pseudoclitocybe_cyathiformis","Psilocybe_horizontalis","Pycnoporus_cinnabarinus","Ramaria_stricta","Resupinatus_applicatus","Resupinatus_kavinii","Rigidoporus_crocatus","Schizophyllum_commune","Sidera_vulgaris","Simocybe_centunculus","Simocybe_haustellaris","Simocybe_sumptuosa","Skeletocutis_nivea","Spongipellis_delectans","Spongipellis_pachyodon","Steccherinum_fimbriatum","Steccherinum_nitidum","Steccherinum_ochraceum","Stereum_hirsutum","Stereum_insignitum","Stereum_rugosum","Stereum_subtomentosum","Stropharia_hornemannii","Trametes_cervina","Trametes_gibbosa","Trametes_hirsuta","Trametes_versicolor","Tremella_foliacea","Tremella_mesenterica","Trichaptum_biforme","Tubaria_conspersa","Tubaria_furfuracea","Tyromyces_chioneus","Xerula_radicata","Xylaria_hypoxylon","Xylaria_longipes","Xylaria_polymorpha"
"AMW025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AMW026",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"AMW207",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"AMW028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"AMW029",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ASK176",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASK177",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASK178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASK179",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASK180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
