"PlotID","Year","Block","E","N"
"N01","2003","N",4474.411,5350.844
"N02","2003","N",4474.372,5350.905
"N03","2003","N",4474.362,5350.889
"N04","2003","N",4474.37,5350.882
"N05","2003","N",4474.38,5350.871
"N06","2003","N",4474.382,5350.862
"M01","2003","M",4474.36,5350.424
"M02","2003","M",4474.38,5350.442
"M03","2003","M",4474.366,5350.435
"M04","2003","M",4474.362,5350.43
"M05","2003","M",4474.374,5350.425
"M06","2003","M",4474.355,5350.433
"M07","2003","M",4474.318,5350.471
"M08","2003","M",4474.304,5350.461
"M09","2003","M",4474.306,5350.465
"M10","2003","M",4474.309,5350.477
"M11","2003","M",4474.313,5350.482
"M12","2003","M",4474.31,5350.488
"M13","2003","M",4474.347,5350.451
"M14","2003","M",4474.362,5350.472
"M15","2003","M",4474.357,5350.463
"M16","2003","M",4474.348,5350.457
"M17","2003","M",4474.355,5350.457
"M18","2003","M",4474.346,5350.461
"S01","2003","S",4474.258,5350.151
"S02","2003","S",4474.266,5350.145
"S03","2003","S",4474.269,5350.113
"S04","2003","S",4474.277,5350.121
"S05","2003","S",4474.286,5350.129
"S06","2003","S",4474.283,5350.132
"S07","2003","S",4474.329,5350.078
"S08","2003","S",4474.334,5350.076
"S09","2003","S",4474.343,5350.073
"S10","2003","S",4474.339,5350.069
"S11","2003","S",4474.342,5350.065
"S12","2003","S",4474.34,5350.065
"S13","2003","S",4474.445,5350
"S14","2003","S",4474.45,5350
"S15","2003","S",4474.457,5350
"S16","2003","S",4474.458,5349.996
"S17","2003","S",4474.461,5350.002
"S18","2003","S",4474.461,5350.008
"N01","2018","N",4474.411,5350.844
"N02","2018","N",4474.372,5350.905
"N03","2018","N",4474.362,5350.889
"N04","2018","N",4474.37,5350.882
"N05","2018","N",4474.38,5350.871
"N06","2018","N",4474.382,5350.862
"M01","2018","M",4474.36,5350.424
"M02","2018","M",4474.38,5350.442
"M03","2018","M",4474.366,5350.435
"M04","2018","M",4474.362,5350.43
"M05","2018","M",4474.374,5350.425
"M06","2018","M",4474.355,5350.433
"M07","2018","M",4474.318,5350.471
"M08","2018","M",4474.304,5350.461
"M09","2018","M",4474.306,5350.465
"M10","2018","M",4474.309,5350.477
"M11","2018","M",4474.313,5350.482
"M12","2018","M",4474.31,5350.488
"M13","2018","M",4474.347,5350.451
"M14","2018","M",4474.362,5350.472
"M15","2018","M",4474.357,5350.463
"M16","2018","M",4474.348,5350.457
"M17","2018","M",4474.355,5350.457
"M18","2018","M",4474.346,5350.461
"S01","2018","S",4474.258,5350.151
"S02","2018","S",4474.266,5350.145
"S03","2018","S",4474.269,5350.113
"S04","2018","S",4474.277,5350.121
"S05","2018","S",4474.286,5350.129
"S06","2018","S",4474.283,5350.132
"S07","2018","S",4474.329,5350.078
"S08","2018","S",4474.334,5350.076
"S09","2018","S",4474.343,5350.073
"S10","2018","S",4474.339,5350.069
"S11","2018","S",4474.342,5350.065
"S12","2018","S",4474.34,5350.065
"S13","2018","S",4474.445,5350
"S14","2018","S",4474.45,5350
"S15","2018","S",4474.457,5350
"S16","2018","S",4474.458,5349.996
"S17","2018","S",4474.461,5350.002
"S18","2018","S",4474.461,5350.008
