"","A_vernalis","A_capillaris","A_patens","A_pulsatilla","A_ramosum","A_vulneraria","A_cynanchica","A_tinctoria","B_laevigata","B_pinnatum","B_media","B_erectus","B_salicifolium","C_glomerata","C_rotundifolia","C_defloratus","C_caryophyllea","C_ericetorum","C_humilis","C_montana","C_pannonica","C_scabiosa","C_ratisbonensis","D_decumbens","D_cneorum","D_pentaphyllum","E_herbacea","E_cyparissias","E_verrucosa","F_rupicola","F_vulgaris","G_boreale","G_mollugo","G_verum","G_tinctoria","G_verna","G_cordifolia","G_punctata","H_ovatum","H_pratense","H_pubescens","H_comosa","I_hirta","K_pyramidata","L_hispidus","L_incanus","L_catharticum","L_perenne","L_corniculatus","L_corniculatus_hirsutus","P_oreoselinum","P_saxifraga","P_media","P_amarella","P_chamaebuxus","P_odoratum","P_alba","P_incana","P_grandiflora","R_saxatilis","R_aristatus","S_pratensis","S_minor","S_canescens","S_columbaria","S_officinalis","Teucrium_montanum","T_linophyllon","T_praecox","Trifolium_montanum","V_spicata","V_hirta"
"X03N01",1,1,2,2,11,2,2,2,2,4,1,1,1,1,1,1,1,1,8,1,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,3,1,2,2,1,2,1,1,1,1,2,1,1,1
"X03N02",1,1,2,5,12,1,2,1,2,9,1,1,2,1,1,1,1,1,6,1,1,3,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,2,1,1,1,1,1
"X03N03",1,1,1,1,8,1,1,2,1,4,1,2,1,1,1,1,1,1,8,1,3,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,3,1,1,1,2,1,2,2,1,1,2
"X03N04",1,1,1,1,9,1,2,1,2,1,1,2,2,1,1,1,1,1,7,1,2,2,1,2,1,1,1,1,1,1,2,9,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,4,1,2,2,1,2,2,2,1,2,1,3,1,2
"X03N05",1,1,1,2,10,1,2,1,2,4,1,2,2,1,1,1,2,1,7,1,1,2,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,3,1,2,2,1,1,2,1,1,2,2,1,1,1
"X03N06",1,1,1,1,9,1,1,2,1,6,1,4,1,1,2,1,1,1,7,1,2,3,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,4,1,2,1,1,2,1,2,1,1,1,2,1,3
"X03M01",1,1,5,1,5,2,1,1,2,1,2,2,4,1,1,1,4,2,6,1,1,3,1,1,1,3,1,2,1,1,4,1,1,1,2,1,5,1,2,1,1,2,4,1,2,2,2,2,2,1,2,1,1,1,4,2,1,3,1,1,2,1,1,2,1,2,1,1,1,2,1,1
"X03M02",1,1,5,2,6,1,2,1,1,3,1,1,2,1,2,1,1,1,6,1,2,2,2,2,2,2,4,1,2,1,3,1,1,1,1,1,3,1,3,1,2,2,4,1,2,1,2,1,2,1,2,2,2,1,4,1,1,2,2,1,2,2,1,2,1,2,1,1,2,2,1,2
"X03M03",1,1,5,2,7,2,1,2,1,2,2,1,3,2,1,1,3,2,7,1,2,2,1,2,1,1,1,2,1,2,4,1,1,1,2,1,6,1,1,1,1,2,3,2,3,3,2,3,1,2,2,1,1,2,6,1,1,4,1,1,2,1,1,2,1,1,1,2,1,2,2,1
"X03M04",1,1,4,4,7,2,2,2,2,1,3,2,2,1,1,1,4,1,6,1,2,2,2,1,1,1,1,2,2,1,3,1,1,1,1,1,5,2,1,1,1,1,2,1,4,2,2,2,2,1,2,1,1,1,1,1,1,4,2,1,2,2,1,2,1,1,2,2,1,1,1,2
"X03M05",1,1,4,2,6,2,2,1,2,2,3,2,2,1,1,1,2,2,6,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,6,1,1,1,1,2,4,1,1,1,2,2,3,1,2,2,1,1,6,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1
