"PlotID","Year","Transect","E","N"
"I1","1984","I",4474.342,5350.027
"I2","1984","I",4474.347,5350.036
"I3","1984","I",4474.352,5350.044
"I4","1984","I",4474.356,5350.054
"I5","1984","I",4474.361,5350.063
"I6","1984","I",4474.365,5350.071
"I7","1984","I",4474.37,5350.079
"I8","1984","I",4474.374,5350.089
"I9","1984","I",4474.378,5350.097
"I10","1984","I",4474.383,5350.106
"I11","1984","I",4474.387,5350.115
"I12","1984","I",4474.392,5350.125
"I13","1984","I",4474.396,5350.133
"I14","1984","I",4474.401,5350.142
"I15","1984","I",4474.405,5350.151
"I16","1984","I",4474.41,5350.16
"I17","1984","I",4474.414,5350.169
"I18","1984","I",4474.418,5350.178
"I19","1984","I",4474.423,5350.187
"I20","1984","I",4474.427,5350.196
"I21","1984","I",4474.431,5350.205
"I22","1984","I",4474.436,5350.213
"I23","1984","I",4474.441,5350.223
"I24","1984","I",4474.444,5350.231
"I25","1984","I",4474.449,5350.24
"I26","1984","I",4474.454,5350.249
"I27","1984","I",4474.457,5350.261
"II1","1984","II",4474.253,5350.071
"II2","1984","II",4474.258,5350.08
"II3","1984","II",4474.262,5350.089
"II4","1984","II",4474.267,5350.098
"II5","1984","II",4474.271,5350.107
"II6","1984","II",4474.275,5350.116
"II7","1984","II",4474.28,5350.125
"II8","1984","II",4474.284,5350.134
"II14","1984","II",4474.31,5350.189
"III1","1984","III",4474.164,5350.115
"III2","1984","III",4474.168,5350.124
"III3","1984","III",4474.172,5350.133
"III16","1984","III",4474.23,5350.25
"I1","1993","I",4474.342,5350.027
"I2","1993","I",4474.347,5350.036
"I3","1993","I",4474.352,5350.044
"I4","1993","I",4474.356,5350.054
"I5","1993","I",4474.361,5350.063
"I6","1993","I",4474.365,5350.071
"I7","1993","I",4474.37,5350.079
"I8","1993","I",4474.374,5350.089
"I9","1993","I",4474.378,5350.097
"I10","1993","I",4474.383,5350.106
"I11","1993","I",4474.387,5350.115
"I12","1993","I",4474.392,5350.125
"I13","1993","I",4474.396,5350.133
"I14","1993","I",4474.401,5350.142
"I15","1993","I",4474.405,5350.151
"I16","1993","I",4474.41,5350.16
"I17","1993","I",4474.414,5350.169
"I18","1993","I",4474.418,5350.178
"I19","1993","I",4474.423,5350.187
"I20","1993","I",4474.427,5350.196
"I21","1993","I",4474.431,5350.205
"I22","1993","I",4474.436,5350.213
"I23","1993","I",4474.441,5350.223
"I24","1993","I",4474.444,5350.231
"I25","1993","I",4474.449,5350.24
"I26","1993","I",4474.454,5350.249
"I27","1993","I",4474.457,5350.261
"II1","1993","II",4474.253,5350.071
"II2","1993","II",4474.258,5350.08
"II3","1993","II",4474.262,5350.089
"II4","1993","II",4474.267,5350.098
"II5","1993","II",4474.271,5350.107
"II6","1993","II",4474.275,5350.116
"II7","1993","II",4474.28,5350.125
"II8","1993","II",4474.284,5350.134
"II14","1993","II",4474.31,5350.189
"III1","1993","III",4474.164,5350.115
"III2","1993","III",4474.168,5350.124
"III3","1993","III",4474.172,5350.133
"III16","1993","III",4474.23,5350.25
"I1","2018","I",4474.342,5350.027
"I2","2018","I",4474.347,5350.036
"I3","2018","I",4474.352,5350.044
"I4","2018","I",4474.356,5350.054
"I5","2018","I",4474.361,5350.063
"I6","2018","I",4474.365,5350.071
"I7","2018","I",4474.37,5350.079
"I8","2018","I",4474.374,5350.089
"I9","2018","I",4474.378,5350.097
"I10","2018","I",4474.383,5350.106
"I11","2018","I",4474.387,5350.115
"I12","2018","I",4474.392,5350.125
"I13","2018","I",4474.396,5350.133
"I14","2018","I",4474.401,5350.142
"I15","2018","I",4474.405,5350.151
"I16","2018","I",4474.41,5350.16
"I17","2018","I",4474.414,5350.169
"I18","2018","I",4474.418,5350.178
"I19","2018","I",4474.423,5350.187
"I20","2018","I",4474.427,5350.196
"I21","2018","I",4474.431,5350.205
"I22","2018","I",4474.436,5350.213
"I23","2018","I",4474.441,5350.223
"I24","2018","I",4474.444,5350.231
"I25","2018","I",4474.449,5350.24
"I26","2018","I",4474.454,5350.249
"I27","2018","I",4474.457,5350.261
"II1","2018","II",4474.253,5350.071
"II2","2018","II",4474.258,5350.08
"II3","2018","II",4474.262,5350.089
"II4","2018","II",4474.267,5350.098
"II5","2018","II",4474.271,5350.107
"II6","2018","II",4474.275,5350.116
"II7","2018","II",4474.28,5350.125
"II8","2018","II",4474.284,5350.134
"II14","2018","II",4474.31,5350.189
"III1","2018","III",4474.164,5350.115
"III2","2018","III",4474.168,5350.124
"III3","2018","III",4474.172,5350.133
"III16","2018","III",4474.23,5350.25
