"","Achillea_millefolium","Adonis_vernalis","Allium_carinatum","Anemone_patens","Anemone_pulsatilla","Anthericum_ramosum","Anthyllis_vulneraria","Arrhenatherum_elatius","Asperula_cynanchica","Asperula_tinctoria","Aster_amellus","Biscutella_laevigata","Brachypodium_pinnatum","Briza_media","Bromus_erectus","Buphthalmum_salicifolium","Campanula_glomerata","Campanula_rotundifolia","Carduus_defloratus","Carex_caryophyllea","Carex_ericetorum","Carex_humilis","Carex_montana","Centaurea_pannonica","Centaurea_scabiosa","Crepis_alpestris","Cytisus_ratisbonensis","Dactylis_glomerata","Danthonia_decumbens","Daphne_cneorum","Dorycnium_pentaphyllum_ssp_germanicum","Erica_herbacea","Euphorbia_cyparissias","Euphorbia_verrucosa","Euphrasia_picta","Festuca_rubra","Festuca_rupicola","Filipendula_vulgaris","Galium_boreale","Galium_mollugo","Galium_pumilum","Galium_verum","Genista_tinctoria","Gentiana_verna","Gentianella_germanica","Globularia_cordifolia","Globularia_punctata","Helianthemum_ovatum","Helictotrichon_pratense","Helictotrichon_pubescens","Hippocrepis_comosa","Hypericum_perforatum","Inula_hirta","Knautia_arvensis","Koeleria_macrantha","Koeleria_pyramidata","Leontodon_hispidus","Leontodon_incanus","Linaria_vulgaris","Linum_catharticum","Linum_perenne","Lotus_corniculatus_ssp_corniculatus","Lotus_corniculatus_ssp_hirsutus","Molinia_caerulea","Peucedanum_oreoselinum","Pilosella_macrantha","Pilosella_officinarum","Pimpinella_saxifraga","Plantago_lanceolata","Plantago_media","Polygala_amarella","Polygala_chamaebuxus","Polygonatum_odoratum","Potentilla_alba","Potentilla_incana","Primula_veris","Prunella_grandiflora","Ranunculus_bulbosus","Rhamnus_saxatilis","Rhinanthus_aristatus","Salvia_pratensis","Sanguisorba_minor","Scabiosa_canescens","Scabiosa_columbaria","Seseli_annuum","Sesleria_albicans","Stachys_officinalis","Taraxacum_campylodes","Teucrium_montanum","Thesium_linophyllon","Thymus_praecox","Trifolium_montanum","Trifolium_pratense","Veronica_spicata","Vicia_cracca","Viola_hirta","Viola_rupestris"
"X84I1",0,0,0,0,0,0,0,82,0,0,0,0,3,0,6,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X84I2",0,0,0,0,0,26,0,0,10,19,0,0,49,0,32,1,0,1,0,3,0,88,5,0,2,0,0,0,0,0,0,0,0,4,0,0,4,38,0,0,0,0,0,0,0,0,5,5,1,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"X84I3",0,2,0,0,7,16,1,0,12,39,0,0,36,2,6,7,0,2,5,21,8,98,5,1,2,0,2,0,0,0,0,0,2,10,0,0,0,36,0,0,0,0,0,0,0,40,4,20,0,0,25,0,0,0,0,1,0,2,0,1,0,0,0,0,13,0,0,2,0,5,0,68,0,4,17,0,2,0,0,13,0,0,0,0,0,0,7,0,0,0,4,5,0,0,0,5,0
"X84I4",0,0,0,1,0,20,0,0,16,20,0,0,35,0,5,16,0,2,31,26,14,86,0,1,0,0,2,0,0,2,0,0,6,16,0,0,0,41,0,0,0,0,0,0,1,12,0,26,0,0,6,0,0,0,0,4,0,1,0,2,0,9,0,0,29,0,0,2,0,0,0,59,20,11,22,0,0,0,0,8,0,0,0,0,0,0,16,1,1,1,6,0,0,0,0,0,0
"X84I5",0,0,0,1,2,11,0,0,8,10,0,0,58,0,15,15,0,0,18,20,3,97,6,2,2,0,15,0,0,0,0,0,2,12,0,0,3,31,0,0,0,0,0,0,0,43,5,21,0,0,6,0,0,0,0,2,1,2,0,3,0,0,0,0,16,0,0,0,0,0,0,68,0,6,20,0,0,0,0,10,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,1,0
"X84I6",0,0,0,6,1,34,0,0,4,18,0,0,33,0,15,2,0,0,20,17,6,88,0,4,0,0,0,0,1,0,0,0,4,7,0,0,3,37,20,0,0,0,0,0,0,31,0,57,0,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,10,0,0,2,0,0,0,20,4,20,1,0,0,0,0,20,2,0,1,0,0,1,3,0,0,5,28,5,0,0,0,4,0
"X84I7",0,0,0,0,1,1,0,0,14,23,0,0,23,0,7,7,0,1,20,8,10,94,1,3,0,0,10,0,0,0,0,58,5,5,10,0,3,0,0,0,0,0,0,0,7,30,0,25,0,0,15,0,0,1,0,0,1,5,0,1,1,10,0,0,18,0,0,4,0,1,0,72,0,19,5,0,8,0,0,6,0,0,2,2,0,0,5,0,1,2,7,3,0,0,0,1,0
"X84I8",0,0,0,2,2,16,0,0,9,16,0,0,17,0,11,5,0,0,0,6,2,92,1,2,2,0,1,0,0,1,0,0,0,7,0,0,3,13,0,0,0,0,1,1,3,0,0,35,0,0,2,0,0,0,0,3,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,3,0,8,65,0,4,0,0,1,3,0,0,0,0,1,7,0,0,0,7,2,0,0,0,0,1
"X84I9",0,0,0,1,3,16,0,0,3,17,0,0,10,0,11,0,0,0,10,6,8,92,0,3,0,0,5,0,0,0,0,0,0,5,0,0,6,38,28,0,0,23,4,1,0,0,3,20,0,0,5,0,0,0,0,0,0,0,0,0,18,5,0,0,29,0,0,0,0,2,0,0,0,0,86,0,7,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1
"X84I10",0,0,0,0,2,39,0,0,26,32,0,0,60,0,37,1,0,0,6,12,5,100,0,3,4,0,0,0,0,0,0,0,2,7,0,0,5,37,40,0,0,0,2,0,0,6,0,28,0,0,36,0,0,0,0,2,0,1,0,0,7,1,0,0,20,0,2,1,0,0,0,40,0,0,39,0,3,0,0,39,0,0,0,0,0,0,5,0,2,0,0,3,0,0,0,0,0
