"","X","method","dist_int_veg","caco","slope","loi","grain_size_stand_f","years_since_n","gf","site"
"1",1,"pn",100,0,0,3.41,6,11,"3",1
"2",2,"pn",90,66.67,0,4.9,6,11,"3",1
"3",3,"pn",70,0,3,4.26,6,11,"3",1
"4",4,"pn",55,51.1,3,3.83,6,11,"3",1
"5",5,"pn",57,17.93,0,4.35,6,11,"3",1
"6",6,"pn",75,37.06,3,4.36,6,11,"3",1
"7",7,"pn",85,56.08,0,3.42,6,11,"3",1
"8",8,"pn",100,4.96,3,3.57,6,11,"3",1
"9",9,"nat",23,0,3,4.36,6,11,"3",1
"10",10,"nat",24,0,4,4.31,6,11,"3",1
"11",11,"nat",34,0,0,3.38,6,11,"3",1
"12",12,"nat",38,0,0,3.29,6,11,"3",1
"13",13,"nat",24,0,0,5.31,6,11,"3",1
"14",14,"nat",26,0,3,4.83,6,11,"3",1
"15",15,"nat",34,0,0,4.17,6,11,"3",1
"16",16,"nat",38,0,0,3.44,6,11,"3",1
"17",17,"ref",0,43.2,0,9.69,6,40,"ref",1
"18",18,"ref",0,37.22,0,7.08,6,40,"ref",1
"19",19,"ref",0,49.68,9,8.24,6,40,"ref",1
"20",20,"ref",0,53.04,19,9.18,6,40,"ref",1
"21",21,"pn",60,62.9,12,3.33,6,11,"3",3
"22",22,"pn",65,14.76,0,2.91,6,11,"3",3
"23",23,"pn",61,47.56,0,2.06,6,11,"3",3
"24",24,"pn",60,16.39,0,1.95,6,11,"3",3
"25",25,"pn",56,38.08,0,1.86,6,11,"3",3
"26",26,"pn",65,0,0,1.77,6,11,"3",3
"27",27,"pn",57,0,0,3.01,6,11,"3",3
"28",28,"pn",45,0,0,3.01,6,11,"3",3
"29",29,"nat",9,0,0,2.28,6,11,"3",3
"30",30,"nat",9,0,0,2.41,6,11,"3",3
"31",31,"nat",12,0,0,3.22,6,11,"3",3
"32",32,"nat",13,0,5,1.78,6,11,"3",3
"33",33,"nat",11,0,0,2.46,6,11,"3",3
"34",34,"nat",8,0,0,2.72,6,11,"3",3
"35",35,"nat",16,0,0,1.97,6,11,"3",3
"36",36,"ref",0,64.91,0,5.51,6,40,"ref",3
"37",37,"ref",0,56.49,0,4.72,6,40,"ref",3
"38",38,"ref",0,54.83,0,5.83,6,40,"ref",3
"39",39,"ref",0,55.45,0,5.21,6,40,"ref",3
"40",40,"nat",2,0,11,7.13,6,9,"2",5
"41",41,"nat",5,0,4,5.94,1,9,"2",5
"42",42,"nat",5,0,7,26.49,6,9,"2",5
"43",43,"nat",7,0,4,27.91,6,9,"2",5
"44",44,"nat",2,0,7,8.65,6,9,"2",5
"45",45,"nat",2,0,0,7.68,6,9,"2",5
"46",46,"nat",9,0,10,21.82,6,9,"2",5
"47",47,"nat",6,0,0,25.75,6,9,"2",5
"48",48,"ref",0,15.64,9,6.87,6,40,"ref",5
