"","taraxacum_sp","anemone_nemorosa","agrostis_capillaris","festuca_ovina","vicia_cracca","lupinus_polyphyllus","potentilla_erecta","tanacetum_vulgare","achillea_millefolium","artemisia_vulgaris","moss","luzula_pilosa","alopecurus_pratensis","trifolium_repens","betula_pendula","salix_myrsinifolia","elytrigia_repens","salix_glauca","calluna_vulgaris","deschampsia_cespitosa","equisetum_arvense","juncus_filiformis","carex_vesicaria","carex_brunnescens","alnus_incana","trifolium_pratense","carex_sp","alchemilla_subcrenata","carex_cf_viridula","lathyrus_linifolius","festuca_rubra","avenella_flexuosa","tussilago_farfara","rubus_idaeus","cirsium_arvense","callitriche_sp","gul_korgplante","chamerion_angustifolium","salix_sp","poa_sp","holcus_lanatus","pinus_sylvestris","salix_phylicifolia","salix_cf_phylicifolia","salix_aurita","chamerion_cf_angustifolium","picea_abies","luzula_sp","plantago_lanceolata","epilobium_sp","populus_tremula","juncus_cf_filiformis","vaccinium_myrtillus","vaccinium_vitis_idaea","veronica_officinalis","luzula_cf_pilosa","sorbus_aucuparia","anthyllis_vulneraria","lotus_corniculatus","pteridium_aquilinum","lichens","melampyrum_sylvaticum","vicia_sepium","lathyrus_pratensis","scirpus_sylvaticus","viola_sp","juncus_sp","geum_urbanum","poaceae","trifolium_medium","poa_trivialis","agrostis_gigantea","ranunculus_repens","juncus_conglomeratus","dactylis_glomerata","cerastium_sp","salix_cf_aurita","solidago_canadensis","luzula_multiflora","hieracium_sp","solidago_virgaurea","carex_canescens","linnaea_borealis","equisetum_sylvaticum","ranunculus_acris","festuca_pratensis","poa_pratensis","carex_cf_canescens","scutellaria_galericulata","hieracium_cf_vulgatum_agg","cirsium_palustre","carex_cf_nigra","cirsium_sp","scorzoneroides_autumnalis","cerastium_fontanum_ssp_vulgare","trifolium_sp","rumex_acetosella","carex_pilulifera","carex_leporina","betula_pubescens","calamagrostis_purpurea","erigeron_acer","trientalis_europea_europea","carex_rostrata","melampyrum_pratense","betula_sp","carex_globularis","salix_cf_starkeana","carex_nigra","melampyrum_sp","achillea_ptarmica","fragaria_vesca","cirsium_dissectum","dryopteris_sp","elymus_caninus","eriophorum_vaginatum","dryopteris_expansa","rubus_chamaemorus","eriophorum_sp","omalotheca_sylvatica","hieracium_seksjon_hieracium","maianthemum_bifolium","phleum_pratense","rumex_acetosa","anthriscus_sylvestris","calamagrostis_neglecta","galium_mollugo","festuca_sp","rubus_sp","carex_pallescens","calamagrostis_arundinacea","trifolium_aureum","leucanthemum_vulgare","ranunculus_sp","prunella_vulgaris","filaginella_uliginosa","polygonum_viviparum","agrostis_stolonifera","juncus_effusus","epilobium_cf_ciliatum","matricaria_discoidea","hypericum_maculatum","juncus_minutulus","sambucus_racemosa","tripleurospermum_inodorum","stellaria_graminea","oxalis_acetosella","gymnocarpium_dryopteris","athyrium_filix_femina","solidago_sp","melica_nutans","mycelis_muralis","salix_cf_myrsinifolia","agrostis_canina","lysimachia_vulgaris","myrrhis_odorata","poa_nemoralis","scrophularia_nodosa","hieracium_seksjon_sylvatica","carex_digitata","fagus_sylvatica","dryopteris_filix_mas","quercus_robur","urtica_dioica","salix_cf_pentandra","calamagrostis_canescens","convolvulus_arvensis","sonchus_arvensis","crepis_tectorum","festuca_cf_rubra","galium_album","prunus_sp","myosotis_arvensis","lapsana_communis","holcus_mollus","glyceria_sp","cerastium_cf_arvense","salix_cf_caprea","galium_sp","salix_pentandra","galium_trifidum","galium_cf_trifidum","trisetum_pratense","agrostis_canescens","linaria_vulgaris","salix_cf_glauca","lycopodium_annotinum","lolium_perenne"
"1",6,6,8,40,4,1,5,2,1,3,20,1,2,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,4,0,0,4,3,0,0,1,1,11,1,12,25,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,20,0,1,15,4,4,1,0,20,0,0,3,0,0,1,2,0,0,1,1,4,4,0,5,1,1,4,6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",15,0,12,4,3,0,0,0,1,3,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,25,0,0,0,0,0,3,1,5,0,0,1,0,0,2,0,0,0,40,0,0,0,1,0,2,0,0,0,0,0,1,50,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,1,20,1,0,0,1,1,0,4,0,0,0,75,0,0,0,0,0,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,0,8,2,0,0,0,1,1,2,70,0,0,2,0,0,1,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,61,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,1,0,0,0,1,0,0,0,60,0,0,0,20,0,0,0,6,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
