,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56
1,52,47,133,11,9,34,1,2,358,1,2,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,4,34,,4,7,1,2,433,1,3,4,40,9,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1,,1,,1,2,403,1,3,7,93,24,2,4,22,45,2,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,1,283,1,2,8,154,44,2,1,59,211,6,12,2,17,31,25,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,139,,1,6,200,65,2,,96,271,11,29,3,30,74,107,5,38,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,37,,1,3,212,79,2,,113,124,14,53,6,15,100,180,9,,13,32,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,2,,,1,186,83,1,,100,7,13,80,8,1,86,163,14,,37,110,41,11,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,132,76,,,63,,9,105,9,,44,77,18,,69,205,108,40,2,5,9,5,2,1,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,72,59,,,26,,4,123,10,,10,11,20,,99,260,203,81,3,9,15,12,7,29,2,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,26,38,,,4,,1,130,10,,,,19,,116,241,304,116,4,10,16,17,17,108,9,1,1,2,3,1,,,,,,,,,,,,,,
11,,,,,,,,,,,,,4,19,,,,,,125,10,,,,15,,114,160,387,127,4,9,11,17,29,172,18,1,1,5,14,6,5,,,,,,,,,,,,,
12,,,,,,,,,,,,,,6,,,,,,109,8,,,,10,,94,67,429,108,5,6,4,11,38,152,25,1,2,8,31,15,23,1,3,8,,,,,,,,,,
13,55,49,52,9,27,26,,,478,32,6,1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,119,24,,,,,,,
14,11,4,13,,12,5,,,578,30,9,2,43,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,21,,,,,,,
15,,,1,,3,,,,538,22,9,3,101,32,,,10,51,1,1,1,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,102,14,,,,,,,
16,,,,,,,,,378,13,7,3,167,59,,,26,236,2,5,2,68,9,33,4,7,,,,,,,,,,,,,,,,,,,,,,55,7,1,,,,,,
17,,,,,,,,,185,6,4,2,216,86,,,43,304,4,11,3,118,21,138,11,50,1,3,,,,,,,,,,,,,,,,,,,,16,2,2,,,,,,
18,,,,,,,,,50,1,2,1,230,105,,,51,139,5,20,6,60,28,231,22,,9,45,5,1,1,,,,,,,,,,,,,,,,,1,,2,1,,,,,
19,,,,,,,,,3,,,,201,110,,,45,8,5,31,8,3,25,210,34,,23,153,23,14,2,3,10,,,,,,,,,,,,,,,,,3,3,,,,,
20,,,,,,,,,,,,,143,100,,,29,,3,40,9,,13,99,44,,43,285,59,53,3,7,38,3,2,1,,,,,,,,,,,,,,4,5,,,,,
21,,,,,,,,,,,,,78,78,,,12,,2,47,10,,3,14,48,,62,362,111,107,5,11,65,6,8,24,,,,1,,,,,,,,,,4,8,,,,,
22,,,,,,,,,,,,,28,51,,,2,,,50,10,,,,45,,73,336,167,153,7,13,70,9,19,90,,2,,7,7,,,,,,,,,4,10,1,,,,
23,,,,,,,,,,,,,4,25,,,,,,48,10,,,,36,,72,223,213,168,8,12,46,9,32,143,,4,,16,32,,3,,,,,,,3,11,2,,,,
