TAXON,MedianSLA,MaxHeight(m),MedianSeedMass(mg),Species
ALA,35,57,35,E. alaticaulis
ARE,40,46,27,E. arenacea
ARO,58,60,28,E. aromaphloia
BAX,38,65,26,E. baxteri
CAM,46,38,29,E. camaldulensis Dehnh.
GON,36,42,12,E. goniocalyx F. Muell. ex Miq.
LEU,37,3,19,E. leucoxylon
MEL,51,58,24,E. melliodora
OBL,40,76,35,E. oblique
OVA,48,69,32,E. ovata
PAU,32,23,7,E. pauciflora
RAD,60,43,26,E. radiata
RUB,57,4,32,E. rubida
SAB,58,24,28,E. sabulosa
SER,27,40,13,E. serraensis
VER,28,19,4,E. verrucata
VIC,26,43,10,E. victoriana
VIMcyg,53,31,18,E. viminalis subsp. Cygnetensis
VIMvim,49,16,45,E. viminalis subsp. Viminalis
WIL,44,79,17,E. willisii subsp. Falciformis
