"","IDENT","elev","PerSlope","aspect","Northness","Sdclass","Rockiness","VallyBotFlat","topowet","PPTann","pptColdQtr","pptWarmQtr","cvTemp","TempColdMin","TempColdMean","TempWarmMean","cvRad","annMeanRad","miAnnMean","miColdQtr","miWarmQtr","T0","T1","T2","GeolID","GeolClass","SOIL","Sandiness","Loaminess","K","Thor","Uran","THtoK","TotalC"
"1","MGS1",427,34,72.355957,0.303102515,10,60,0,8.89,785,262,122,142,27,68,171,45,154,70.96,27,25,6124.01,7815.17,8142,2688,"Ssr","",1,0,-0.94,2.48,2.36,-2.33,852.41
"2","MGS5",427,30,72.355957,0.303102515,10,75,0,8.89,785,262,122,142,27,68,171,45,154,70.96,27,25,6124.01,7815.17,8142,2688,"Ssr","",1,0,-0.94,2.48,2.36,-2.33,852.41
"3","MGS4",423,34,107.280342,-0.297047281,10,70,0,9.55,780,260,121,142,27,69,172,45,154,70.38,27,25,3252.96,5923.26,8401.99,2688,"Ssr","",1,0,-0.71,3.5,1.01,-2.47,820.75
"4","MGS3",423,24,107.280342,-0.297047281,15,40,0,8.7,778,259,121,142,27,69,172,45,154,70,27,24.31,1636.63,3853.74,7030.29,2688,"Ssr","",1,0,-0.71,4.51,2.55,-3.22,823.15
"5","MGS2",415,26,158.983398,-0.933476547,15,15,0,7.27,772,257,120,142,27,69,172,45,154,70,27,24.06,1352.08,2261.65,5184.28,2688,"Ssr","",1,0,-0.71,5.64,2.8,-4.02,825.72
"6","MGN1",509,40,275.410125,0.094284242,15,80,0,7.58,841,282,129,142,24,64,167,45,153,72.95,24,28.22,5018.48,7221.53,8392.52,2688,"Ssr","",1,0,0.09,-2.32,4.35,-0.2,677.06
"7","MGN2",506,41,84.757019,0.091379627,10,80,0,8.67,846,284,130,143,24,63,167,46,152,73,24,29,4874.83,7046.05,8195.14,2688,"Ssr","",1,0,0.11,-2.42,5.62,-0.28,672.84
"8","MGN3",529,43,346.013092,0.97035098,20,40,0,6.88,848,285,130,143,24,63,166,46,152,73,23.38,29.12,10145.4,7703.64,3868.64,2688,"Ssr","",1,0,0.16,-1.59,5.96,-0.25,630.81
"9","MGN4",542,38,325.207336,0.821222275,20,20,0,8,845,284,130,142,24,63,167,46,152,73,24,28.89,8773.88,7871.89,5364.23,2688,"Ssr","",1,0,0.21,0.6,3.87,0.12,581.67
"10","MGN5",520,29,180.90393,-0.999875553,20,10,0,6.11,830,278,128,142,24,65,168,45,153,72,24.44,27.56,672.69,855.84,3445.77,2688,"Ssr","",1,0,0.02,3.62,1.33,0.09,640.31
"11","TBGS1",506,35,113.517211,-0.399024525,15,90,0,8.74,846,287,128,145,23,63,168,46,153,73,23,28.01,2816.11,5493.06,8220.92,2688,"Ssr","",1,0,0.24,0.27,3.07,0.07,632.66
"12","TBGS2",457,2,296.664123,0.448759507,15,60,0,8.55,805,273,123,145,25,67,172,45,154,71,25,25.14,6905.14,8098.11,7727.01,2688,"Ssr","",1,0,0.21,2.1,2.31,0.45,635.19
"13","TBGS3",503,29,223.462783,-0.725821345,15,40,0,6.7,807,274,123,145,25,67,172,45,154,71,25,25.68,1543.46,3639.64,6838.23,2688,"Ssr","",1,0,0.34,1.55,3.06,0.53,619.24
